id,target
0,8.0136385
5,8.380243
15,8.456843
16,8.398005
17,8.1356735
19,8.246614
20,8.4007435
21,7.922487
23,8.154924
29,8.349085
31,8.284722
32,7.8284135
33,8.534148
34,8.284611
35,8.392238
37,8.317228
38,8.233068
39,8.25187
40,8.384256
44,8.035273
49,7.9532065
53,8.360694
56,8.134386
60,8.318875
61,7.4927216
63,8.199863
64,8.475676
66,8.465367
70,8.176804
71,8.359924
72,8.562085
75,8.094415
76,8.022255
78,8.224693
85,8.352443
86,7.9553857
89,8.450613
90,8.344089
92,7.7964735
93,8.226503
94,8.416931
100,8.117996
101,8.311935
102,8.378408
105,7.888913
106,8.31272
107,8.213568
108,8.129579
109,8.382807
112,8.431516
113,8.199921
116,8.248825
117,8.353925
118,8.387968
120,8.065478
129,8.357213
130,8.219476
132,8.151945
133,8.387557
134,8.198421
136,8.295992
137,8.244928
141,7.9573708
142,8.328715
152,8.031643
154,8.251928
156,8.315494
160,7.939186
161,8.121355
166,8.249284
170,8.176047
173,7.949205
174,7.918641
175,8.178222
179,8.35742
182,8.091519
186,8.0684595
188,8.318855
189,8.193037
191,8.139118
193,8.316664
194,8.083429
195,8.029714
196,7.96972
197,8.141871
199,8.355963
200,8.06015
202,8.301175
203,8.2895565
204,8.403594
206,8.035889
207,8.464848
212,7.9970536
217,7.9795785
218,7.998288
220,8.702372
224,7.922896
225,8.215428
229,8.448698
230,8.352654
234,8.121195
235,8.046159
238,8.204918
239,8.464125
241,8.226892
243,8.080836
245,7.5277686
247,8.13542
251,8.382965
252,8.147585
253,8.325147
255,8.243914
256,8.413346
258,8.564741
259,8.507299
260,8.113402
263,7.7863054
264,8.434446
266,8.215932
267,8.303406
268,8.339851
270,8.364599
273,8.15167
274,8.417238
275,7.9421816
276,7.990401
277,8.404983
281,8.366376
282,8.228231
285,8.222511
292,8.227298
293,8.046002
295,8.125479
298,8.169736
299,8.570921
300,8.357536
301,7.96529
302,7.948831
309,8.108484
311,8.4205265
316,8.329609
317,8.070456
319,8.217689
321,8.142553
322,8.218977
324,8.325483
328,7.9313307
329,8.589324
331,8.361913
334,8.132345
337,8.191044
338,8.226657
340,8.4930935
344,8.239073
349,7.9121447
350,7.74346
351,8.5019865
354,8.192834
356,8.336405
358,8.022986
361,8.596717
364,8.293804
365,8.61752
370,7.973399
372,8.2316
374,8.355248
375,7.926487
376,8.324616
379,8.195602
380,8.569214
382,8.108385
383,8.296021
385,8.398175
389,8.34996
392,8.4223175
394,8.202531
395,8.438311
398,7.9397674
400,8.17363
402,8.442096
403,8.193211
406,8.511087
410,8.068878
412,8.340164
413,8.254827
417,8.174815
418,8.283757
